"Name","Categories","Price","SKU","Description"
"Laptop UltraPerformant","Electronice","4500","LAP-001","Un laptop de ultimă generație, perfect pentru gaming și muncă."
"Smartphone 5G","Electronice","3200","PHN-002","Telefon cu ecran OLED și cameră triplă de 48MP."
"Tricou din Bumbac Organic","Modă","80","TSH-003","Tricou confortabil, disponibil în mai multe culori."
"Pantofi din Piele Naturală","Modă","350","SHOE-004","Pantofi eleganți, fabricați manual în România."
"Set de Farfurii (18 piese)","Casă și grădină","250","PLATE-005","Set complet de farfurii din porțelan, ideal pentru 6 persoane."
"Ghiveci Ceramic pentru Plante","Casă și grădină","55","POT-006","Ghiveci decorativ pentru interior, cu design modern."
"Roman Sci-Fi: 'Ultimul Orizont'","Cărți","45","BOOK-007","O aventură captivantă despre explorarea spațiului."
"Carte de Gătit: 'Rețete Tradiționale'","Cărți","60","BOOK-008","Descoperă cele mai iubite rețete din bucătăria românească."
"Mașinuță cu Telecomandă","Jucării","120","TOY-009","Mașinuță rapidă și rezistentă, pentru copii peste 5 ani."
"Păpușă Articulată","Jucării","95","TOY-010","Păpușă cu accesorii incluse, perfectă pentru jocuri de rol."
